instance_id,n_iter,alpha,k,lambda_max,seed,profit,ref_profit,optimality_gap,wall_time_s
pisinger_smac_t2_k100_n100_r10000_s1007,13,0.9107074414465,12,11.2555821296258,327741615,502100,502114,2.7882114420231263e-05,3.9472854579798877
pisinger_smac_t5_k100_n10_r10000_s1006,30,0.30982818894,23,30.2704503196008,327741615,653262,674691,0.03176120624107925,0.16927616705652326
pisinger_smac_t5_k100_n10_r10000_s1004,14,0.9109903763674,12,13.6439872937024,327741615,678839,683600,0.00696459918080749,0.1738678750116378
pisinger_smac_t2_k100_n100_r10000_s1004,46,0.2834388169875,57,80.1659404828197,327741615,498267,500766,0.0049903547764824285,1.4940201659919694
pisinger_smac_t3_k100_n100_r10000_s1004,20,0.9138998374284,32,33.9863278832051,327741615,348896,573515,0.39165322615799064,5.023561582900584
pisinger_smac_t3_k100_n100_r10000_s1004,11,0.9111786499956,24,14.5923020629315,327741615,56708,573515,0.9011220281945547,5.046241249889135
pisinger_smac_t2_k100_n10_r10000_s1008,12,0.5366026412844,19,14.6280810680168,327741615,501352,501765,0.0008230944764979622,3.5747854580404237
pisinger_smac_t1_k100_n10_r10000_s1002,43,0.8440456877374,8,79.1660821525704,327741615,866913,871344,0.005085247617473696,0.04784929205197841
pisinger_smac_t1_k10_n100_r10000_s1008,6,0.3136952136013,6,41.6751310701074,327741615,97210,98578,0.01387733571385096,0.016166332992725074
pisinger_smac_t2_k100_n100_r10000_s1011,43,0.1238272914979,63,14.7273008406298,327741615,495613,500522,0.009807760697831463,0.856297624995932
pisinger_smac_t6_k10_n10_r10000_s1006,22,0.4413593704516,19,48.1681239924409,327741615,76820,84964,0.09585236099995292,0.028716958011500537
pisinger_smac_t1_k100_n10_r10000_s1004,20,0.9794150302396,28,16.8449103272179,327741615,877967,879376,0.0016022725205145467,0.0531555829802528
pisinger_smac_t2_k10_n100_r10000_s1012,20,0.9794150302396,28,16.8449103272179,327741615,49283,50191,0.01809089278954394,0.02111012500245124
pisinger_smac_t1_k10_n100_r10000_s1011,17,0.0324570315994,13,47.279711064306,327741615,97387,98601,0.012312248354479163,0.018000875017605722
pisinger_smac_t3_k10_n100_r10000_s1004,18,0.9792835048619,28,17.2177574690796,327741615,54876,55701,0.014811224215005117,0.020842792000621557
pisinger_smac_t2_k100_n10_r10000_s1001,49,0.5093537406016,27,17.2177295809733,327741615,501366,502096,0.001453905229278863,2.110619541956112
pisinger_smac_t5_k100_n10_r10000_s1004,10,0.6990151613744,62,73.6383991953474,327741615,626793,683600,0.08309976594499707,0.15455849992576987
pisinger_smac_t1_k10_n100_r10000_s1002,15,0.9109494789786,33,87.6634580204006,327741615,97733,97814,0.0008281023166417896,0.022973834071308374
pisinger_smac_t1_k10_n10_r10000_s1003,15,0.9110491907233,24,41.9373731839142,327741615,91094,91094,0.0,0.020063083968125284
pisinger_smac_t3_k10_n10_r10000_s1007,6,0.6290536454201,30,16.5532730729705,327741615,45729,53070,0.13832673827020917,0.026762458961457014
pisinger_smac_t5_k10_n100_r10000_s1012,22,0.278946612203,50,28.6247507760589,327741615,52730,59154,0.10859789701457213,0.019095083000138402
pisinger_smac_t6_k100_n100_r10000_s1001,14,0.9118880307423,32,88.112362016564,327741615,981796,982677,0.0008965305995764631,0.3039131249533966
pisinger_smac_t3_k10_n10_r10000_s1010,14,0.9124236242102,43,13.267126838486,327741615,48215,50852,0.05185636749783686,0.02555870800279081
pisinger_smac_t3_k10_n100_r10000_s1008,47,0.321659752481,48,29.619297954334,327741615,56147,57099,0.016672796371214906,0.02263133297674358
pisinger_smac_t1_k100_n100_r10000_s1003,49,0.8221794070161,31,91.1659541131149,327741615,981038,983854,0.002862213295875201,0.4299955000169575
pisinger_smac_t2_k100_n100_r10000_s1009,11,0.3058877457833,19,12.6625691799851,327741615,500821,500865,8.784802292034779e-05,4.348098541959189
pisinger_smac_t6_k10_n10_r10000_s1012,30,0.7171396541106,20,78.2540991097194,327741615,81034,87194,0.07064706287129849,0.028776625054888427
pisinger_smac_t3_k100_n10_r10000_s1001,10,0.9108037626492,22,31.9679899641603,327741615,535808,536305,0.0009267114794752985,2.6610013330355287
pisinger_smac_t1_k10_n100_r10000_s1001,9,0.3070624104207,40,12.6891316585354,327741615,97053,98179,0.011468847716925207,0.01892537495587021
pisinger_smac_t2_k10_n10_r10000_s1007,25,0.9752152121772,47,58.4299590297395,327741615,48884,52153,0.06268095795064521,0.023821166018024087
pisinger_smac_t6_k100_n10_r10000_s1010,10,0.7282127056788,13,90.4588492083552,327741615,815295,828833,0.016333809102678103,0.04830975004006177
pisinger_smac_t6_k10_n10_r10000_s1001,12,0.4392987735329,33,47.715039751287,327741615,68600,85486,0.1975294200219919,0.024781915941275656
pisinger_smac_t4_k100_n10_r10000_s1011,9,0.2872774131738,38,12.3083879134962,327741615,503604,505929,0.004595506484111407,0.3881093750242144
pisinger_smac_t2_k100_n100_r10000_s1005,22,0.9806093757945,34,16.6716046636118,327741615,396124,499759,0.2073699523170168,5.024170042015612
pisinger_smac_t6_k10_n100_r10000_s1008,7,0.8227014702846,9,96.2885046829947,327741615,95633,98348,0.027606051978687925,0.022360375034622848
pisinger_smac_t4_k100_n10_r10000_s1012,16,0.8917549230104,56,58.0513644661743,327741615,475916,500116,0.04838877380447736,0.1570679999422282
pisinger_smac_t5_k10_n100_r10000_s1010,36,0.715113121523,36,41.7999456668807,327741615,52479,57982,0.09490876478907247,0.021918124984949827
pisinger_smac_t5_k10_n10_r10000_s1008,17,0.9106994268026,17,14.7148419113504,327741615,61046,64413,0.05227205688292736,0.024806292029097676
pisinger_smac_t2_k10_n10_r10000_s1001,22,0.9800655489567,33,14.6606649037279,327741615,50131,54569,0.08132822664882992,0.030181125039234757
pisinger_smac_t6_k100_n10_r10000_s1009,23,0.8944172330733,8,78.437184496237,327741615,833927,836441,0.0030055915479992013,0.03216304199304432
pisinger_smac_t3_k10_n100_r10000_s1011,45,0.2618176620433,37,46.4474967399018,327741615,57319,57950,0.01088869715271786,0.02163958305027336
pisinger_smac_t3_k100_n100_r10000_s1006,8,0.9127401319926,10,68.4505799902169,327741615,111562,572170,0.8050194872153381,5.040109375026077
pisinger_smac_t4_k10_n100_r10000_s1010,8,0.0058959970412,56,7.4710415644886,327741615,48723,50032,0.02616325551646946,0.01876341609749943
pisinger_smac_t4_k10_n10_r10000_s1010,10,0.9110155051563,22,25.9897964437208,327741615,38704,50746,0.2372994915855437,0.02750920900143683
pisinger_smac_t5_k10_n100_r10000_s1007,32,0.6663352608974,7,51.9448683721524,327741615,53176,56093,0.05200292371597169,0.03231237502768636
pisinger_smac_t3_k10_n10_r10000_s1009,12,0.4840377001522,32,87.8589224166949,327741615,43294,50205,0.13765561199083756,0.02595258306246251
pisinger_smac_t4_k100_n10_r10000_s1001,8,0.9143172785891,7,99.5972195159556,327741615,500671,500697,5.1927612907606794e-05,0.3505116670858115
pisinger_smac_t5_k10_n100_r10000_s1012,18,0.9764234478956,61,50.7991077924101,327741615,55366,59154,0.06403624437907834,0.021613750024698675
pisinger_smac_t1_k10_n100_r10000_s1011,48,0.3895129158462,8,2.0605998287507,327741615,97831,98601,0.00780925142747031,0.024381333962082863
pisinger_smac_t1_k10_n100_r10000_s1001,19,0.1020232882355,64,75.9989979552332,327741615,97053,98179,0.011468847716925207,0.018264667014591396
pisinger_smac_t6_k100_n100_r10000_s1002,8,0.9169669306546,10,95.7113929311043,327741615,981469,982893,0.0014487843539429013,0.4189566249260679
pisinger_smac_t6_k100_n100_r10000_s1002,39,0.0670704257668,36,86.7031837242399,327741615,974244,982893,0.008799533621665837,0.40015512495301664
pisinger_smac_t3_k10_n10_r10000_s1001,33,0.9284284835096,48,29.2133765614327,327741615,52433,54867,0.04436182040206317,0.025496500078588724
pisinger_smac_t6_k10_n100_r10000_s1004,17,0.2066216481574,50,68.9279989283669,327741615,96011,98660,0.026849787147780257,0.01904508308507502
pisinger_smac_t6_k10_n10_r10000_s1008,41,0.8199249331286,10,91.9587167334939,327741615,66133,72085,0.08256918915169592,0.028708499972708523
pisinger_smac_t5_k100_n100_r10000_s1004,30,0.7177785319418,42,25.0512644196126,327741615,567280,581306,0.024128428056823772,1.3674651249311864
pisinger_smac_t2_k100_n100_r10000_s1007,8,0.9237297287282,9,97.7935415805786,327741615,405411,502114,0.19259172219854456,1.7368883749004453
pisinger_smac_t1_k10_n10_r10000_s1011,9,0.7267393518934,37,29.6796559642096,327741615,78322,82807,0.05416208774620503,0.034579292056150734
pisinger_smac_t6_k100_n10_r10000_s1010,32,0.8646779647901,6,64.088522901099,327741615,824194,828833,0.0055970261801834625,0.06516800005920231
pisinger_smac_t1_k100_n10_r10000_s1009,10,0.2676705891278,47,14.4269822222751,327741615,848132,896378,0.053823275448527295,0.11843995901290327
pisinger_smac_t6_k10_n10_r10000_s1006,9,0.7045382193922,38,26.5025429629038,327741615,78907,84964,0.07128901652464573,0.02892487496137619
pisinger_smac_t3_k100_n100_r10000_s1004,9,0.6620182770244,38,23.280698557568,327741615,573165,573515,0.0006102717452900098,4.602491416037083
pisinger_smac_t2_k10_n10_r10000_s1004,48,0.4008836843327,13,55.0227189106662,327741615,47384,54423,0.12933869871194165,0.029246125021018088
pisinger_smac_t1_k10_n10_r10000_s1004,9,0.6598949661922,37,25.016385159472,327741615,72834,86753,0.1604440192270008,0.0217093329411
pisinger_smac_t6_k10_n10_r10000_s1008,9,0.6552963212582,38,31.1806760028795,327741615,56976,72085,0.2095997780398141,0.027284541982226074
pisinger_smac_t6_k100_n100_r10000_s1003,9,0.90862881972,20,11.3746624906995,327741615,982938,985145,0.0022402793497403937,0.5441317079821602
